path_name,requests
survey.devographics.com/api/graphql,402507
survey.devographics.com/api/account/user,19950
survey.devographics.com/en-US/survey/state-of-graphql/2022,10514
survey.devographics.com/_error,7046
survey.devographics.com/en-US/survey/[slug]/[year]/[responseId]/[sectionNumber],6939
survey.devographics.com/surveys/stateofcss2022.png,4964
survey.devographics.com/en-US/survey/state-of-css/2022,3766
survey.devographics.com/images/google.png,3358
survey.devographics.com/_next/static/chunks/464-3f3752ea34073c52.js,3171
survey.devographics.com/_next/static/chunks/660-257da7a1443ced32.js,3146
survey.devographics.com/_next/static/chunks/main-8033993b2222604e.js,3145
survey.devographics.com/_next/static/chunks/framework-2207b02cbb6a9ac8.js,3115
survey.devographics.com/_next/static/chunks/972-335a4beecec97446.js,3075
survey.devographics.com/_next/static/chunks/235-43d389359b17d44c.js,3058
survey.devographics.com/_next/static/chunks/webpack-f951ed035a87b9b9.js,3049
survey.devographics.com/_next/static/chunks/pages/survey/%5Bslug%5D/%5Byear%5D-c7ca548f08caed39.js,3004
survey.devographics.com/_next/static/css/a8bbf6065d8888f3.css,2814
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US.json,2787
survey.devographics.com/stellate-badge.svg,2728
survey.devographics.com/site.webmanifest,2692
survey.devographics.com/favicon.svg,2532
survey.devographics.com/_next/static/chunks/pages/_app-2ec9b1e8693378f6.js,2422
survey.devographics.com/_next/static/qPcfjNTWD2akvXXjlJkSw/_ssgManifest.js,2391
survey.devographics.com/_next/static/qPcfjNTWD2akvXXjlJkSw/_buildManifest.js,2391
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US/privacy-policy.json,2204
survey.devographics.com/_next/static/chunks/pages/index-3bf5e3105e092547.js,2144
survey.devographics.com/_next/static/chunks/pages/privacy-policy-549728aa5c433a16.js,2100
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US/survey/state-of-css/2022.json,1845
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US/account/login.json,1806
survey.devographics.com/_next/static/chunks/pages/account/login-29336266e89ab371.js,1746
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US/account/profile.json,1481
survey.devographics.com/_next/static/chunks/363a4fd7-f4fc4ee3c2af7730.js,1443
survey.devographics.com/_next/static/chunks/711-d365e0f9b8cd9897.js,1431
survey.devographics.com/en-US/survey/[slug]/[year]/[responseId],1398
survey.devographics.com/_next/static/chunks/pages/survey/%5Bslug%5D/%5Byear%5D/%5BresponseId%5D-1a1c92378989c625.js,1281
survey.devographics.com/_next/static/chunks/pages/survey/%5Bslug%5D/%5Byear%5D/%5BresponseId%5D/%5BsectionNumber%5D-96cddb39d52b8c6a.js,1187
survey.devographics.com/_next/static/chunks/263-65aa848bfa9be2c1.js,1095
survey.devographics.com/_next/static/chunks/pages/account/profile-ba685018e6227b0b.js,1046
survey.devographics.com/_next/data/UPdBAQv6zMA-s0aAuBqbP/en-US.json,945
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en/survey/[slug]/[year].json,920
survey.devographics.com/api/account/anonymous-login/login,865
survey.devographics.com/_next/static/chunks/pages/_app-14a6e320bb77defe.js,793
survey.devographics.com/_next/static/UPdBAQv6zMA-s0aAuBqbP/_ssgManifest.js,785
survey.devographics.com/_next/static/UPdBAQv6zMA-s0aAuBqbP/_buildManifest.js,782
survey.devographics.com/,728
survey.devographics.com/surveys/stateofjs2021.png,614
survey.devographics.com/en,600
survey.devographics.com/en-US/survey/[slug]/[year]/[responseId]/thanks,534
survey.devographics.com/surveys/stateofgraphql2022.png,512
survey.devographics.com/_next/data/UPdBAQv6zMA-s0aAuBqbP/en-US/privacy-policy.json,496
survey.devographics.com/en-US,458
survey.devographics.com/_next/data/UPdBAQv6zMA-s0aAuBqbP/en-US/survey/state-of-css/2022.json,451
survey.devographics.com/_next/static/chunks/706-ae1a9f8e1e93326d.js,440
survey.devographics.com/_next/static/chunks/pages/survey/%5Bslug%5D/%5Byear%5D/%5BresponseId%5D/thanks-b2d34c2665998267.js,436
survey.devographics.com/_next/data/UPdBAQv6zMA-s0aAuBqbP/en-US/account/profile.json,415
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US/survey/state-of-js/2021.json,387
survey.devographics.com/_next/data/qPcfjNTWD2akvXXjlJkSw/en-US/survey/state-of-graphql/2022.json,385
survey.devographics.com/surveys/stateofcss2021.png,379
survey.devographics.com/_next/data/UPdBAQv6zMA-s0aAuBqbP/en-US/account/login.json,371
survey.devographics.com/_next/static/chunks/263-7d5324c42b8f4c2b.js,351
survey.devographics.com/api/account/magic-login/send-email,320
survey.devographics.com/en-US/survey/state-of-js/2021,285
survey.devographics.com/en-US/account/magic-login,274
